event_id,cell_id,observed_at,outcome,rainfall_mm_1h,rainfall_mm_3h,rainfall_mm_6h,rainfall_mm_24h,rainfall_mm_72h,river_stage_m,river_stage_rate_m_per_h,pump_running,forecast_probability,flagged_observation_count
event-03,89608850e47ffff,2024-07-01T01:00:00+05:30,0,0.0287,2.8188,6.5692,17.5692,33.1692,2.7936,0.0136,1.0,0.045,0
event-03,89608850e47ffff,2024-07-01T02:00:00+05:30,0,0.6671,3.936,8.3009,19.3009,34.9009,2.7845,0.0022,1.0,0.05,0
event-03,89608850e47ffff,2024-07-01T03:00:00+05:30,0,1.1343,5.4963,10.7192,21.7192,37.3192,2.8326,0.0175,1.0,0.055,0
event-03,89608850e47ffff,2024-07-01T04:00:00+05:30,0,1.2515,4.1802,8.6794,19.6794,35.2794,2.853,0.0183,1.0,0.06,0
event-03,89608850e47ffff,2024-07-01T05:00:00+05:30,0,0.7461,4.0901,8.5397,19.5397,35.1397,2.8409,0.0122,1.0,0.065,0
event-03,89608850e47ffff,2024-07-01T06:00:00+05:30,0,1.9063,6.2113,11.8275,22.8275,38.4275,2.8734,0.0156,1.0,0.07,0
event-03,89608850e47ffff,2024-07-01T07:00:00+05:30,0,0.0014,1.9712,5.2553,16.2553,31.8553,2.7827,0.0004,1.0,0.075,0
event-03,89608850e47ffff,2024-07-01T08:00:00+05:30,0,2.1968,7.3769,13.6343,24.6343,40.2343,2.8292,0.0062,1.0,0.08,0
event-03,89608850e47ffff,2024-07-01T09:00:00+05:30,0,2.295,7.8039,14.2961,25.6961,41.2961,2.8008,0.0023,1.0,0.085,0
event-03,89608850e47ffff,2024-07-01T10:00:00+05:30,0,0.373,3.5873,7.7603,19.5603,35.1603,2.9452,0.0165,1.0,0.09,0
event-03,89608850e47ffff,2024-07-01T11:00:00+05:30,0,1.4882,5.396,10.5638,22.7638,38.3638,2.8581,0.0071,1.0,0.095,0
event-04,8960885016bffff,2024-07-09T00:00:00+05:30,0,1.0578,4.0393,8.7609,21.2609,38.6609,2.82,0.0108,1.0,0.04,0
event-04,8960885016bffff,2024-07-09T01:00:00+05:30,0,0.5029,3.1292,7.3502,19.8502,37.2502,2.8399,0.0199,1.0,0.045,0
event-04,8960885016bffff,2024-07-09T02:00:00+05:30,0,1.0953,4.7257,9.8248,22.3248,39.7248,2.8248,0.0024,1.0,0.05,0
event-04,8960885016bffff,2024-07-09T03:00:00+05:30,0,0.8452,4.367,9.2689,21.7689,39.1689,2.8338,0.0046,1.0,0.055,0
event-04,8960885016bffff,2024-07-09T04:00:00+05:30,0,0.1775,3.1172,7.3316,19.8316,37.2316,2.8383,0.0046,1.0,0.06,0
event-04,8960885016bffff,2024-07-09T05:00:00+05:30,0,2.1491,5.9399,11.7068,24.2068,41.6068,2.8438,0.0048,1.0,0.065,0
event-04,8960885016bffff,2024-07-09T06:00:00+05:30,0,0.5356,2.8358,6.8955,19.3955,36.7955,2.9323,0.0187,1.0,0.07,0
event-04,8960885016bffff,2024-07-09T07:00:00+05:30,0,1.1817,5.4326,10.9205,23.4205,40.8205,2.933,0.0161,1.0,0.075,0
event-04,8960885016bffff,2024-07-09T08:00:00+05:30,0,0.2423,2.8468,6.9125,19.4125,36.8125,2.8878,0.0085,1.0,0.08,0
event-04,8960885016bffff,2024-07-09T09:00:00+05:30,0,1.9227,6.6921,12.8728,25.7728,43.1728,3.0025,0.0203,1.0,0.085,0
event-04,8960885016bffff,2024-07-09T10:00:00+05:30,0,1.2066,4.5917,9.6172,22.9172,40.3172,3.0043,0.0184,1.0,0.09,0
event-04,8960885016bffff,2024-07-09T11:00:00+05:30,0,0.7755,3.9483,8.6198,22.3198,39.7198,2.9326,0.0102,1.0,0.095,0
event-05,89608850c53ffff,2024-07-17T00:00:00+05:30,0,0.6245,4.7756,10.2021,24.2021,43.4021,2.86,0.0089,1.0,0.04,0
event-05,89608850c53ffff,2024-07-17T01:00:00+05:30,0,1.3758,4.5328,9.8258,23.8258,43.0258,2.88,0.02,1.0,0.045,0
event-05,89608850c53ffff,2024-07-17T02:00:00+05:30,0,2.4225,8.3777,15.7855,29.7855,48.9855,2.8939,0.017,1.0,0.05,0
event-05,89608850c53ffff,2024-07-17T03:00:00+05:30,0,1.2141,4.5357,9.8303,23.8303,43.0303,2.8841,0.008,1.0,0.055,0
event-05,89608850c53ffff,2024-07-17T04:00:00+05:30,0,0.9474,5.5455,11.3955,25.3955,44.5955,2.8812,0.0053,1.0,0.06,0
event-05,89608850c53ffff,2024-07-17T05:00:00+05:30,0,1.1375,4.8011,10.2416,24.2416,43.4416,2.9557,0.0191,1.0,0.065,0
event-05,89608850c53ffff,2024-07-17T06:00:00+05:30,0,1.3894,5.8957,11.9383,25.9383,45.1383,2.8786,0.0031,1.0,0.07,0
event-05,89608850c53ffff,2024-07-17T07:00:00+05:30,0,2.4218,7.6819,14.707,28.707,47.907,2.9359,0.0108,1.0,0.075,0
event-05,89608850c53ffff,2024-07-17T08:00:00+05:30,0,0.1429,3.1342,7.658,21.658,40.858,2.9405,0.0101,1.0,0.08,0
event-05,89608850c53ffff,2024-07-17T09:00:00+05:30,0,0.4936,4.5887,9.9125,24.3125,43.5125,2.8798,0.0022,1.0,0.085,0
event-05,89608850c53ffff,2024-07-17T10:00:00+05:30,0,1.6876,6.4056,12.7287,27.5287,46.7287,2.919,0.0059,1.0,0.09,0
event-05,89608850c53ffff,2024-07-17T11:00:00+05:30,0,2.5257,7.2239,13.997,29.197,48.397,3.0106,0.0137,1.0,0.095,0
event-06,89608850e47ffff,2024-07-25T00:00:00+05:30,0,1.0481,5.1235,11.0414,26.5414,47.5414,2.9,0.0105,1.0,0.0392,0
event-06,89608850e47ffff,2024-07-25T01:00:00+05:30,0,0.5106,4.3137,9.7862,25.2862,46.2862,2.9048,0.0048,1.0,0.0392,0
event-06,89608850e47ffff,2024-07-25T02:00:00+05:30,0,1.6792,5.8184,12.1186,27.6186,48.6186,2.9126,0.0063,1.0,0.0392,0
event-06,89608850e47ffff,2024-07-25T03:00:00+05:30,0,0.1814,3.1393,7.9659,23.4659,44.4659,2.9599,0.02,1.0,0.0392,0
event-06,89608850e47ffff,2024-07-25T04:00:00+05:30,0,3.9832,10.2526,18.9915,36.4915,57.4915,3.1012,0.0503,1.0,0.0998,0
event-06,89608850e47ffff,2024-07-25T05:00:00+05:30,0,9.8022,23.2229,39.0954,58.5954,79.5954,3.387,0.0974,1.0,0.2315,0
event-06,89608850e47ffff,2024-07-25T06:00:00+05:30,0,13.4844,30.2358,49.9655,71.4655,92.4655,3.7834,0.1472,1.0,0.4502,0
event-06,89608850e47ffff,2024-07-25T07:00:00+05:30,0,16.8349,35.5455,58.1956,81.6956,102.6956,4.2744,0.1963,1.0,0.69,0
event-06,89608850e47ffff,2024-07-25T08:00:00+05:30,1,20.6585,45.0548,72.9349,98.4349,119.4349,4.7215,0.2277,1.0,0.8581,0
event-06,89608850e47ffff,2024-07-25T09:00:00+05:30,1,23.0676,49.1016,79.2075,106.7075,127.7075,5.379,0.2754,1.0,0.9427,0
event-06,89608850e47ffff,2024-07-25T10:00:00+05:30,1,28.394,59.0553,94.6356,124.1356,145.1356,6.1768,0.3277,1.0,0.9781,0
event-06,89608850e47ffff,2024-07-25T11:00:00+05:30,1,31.6213,66.9133,106.8157,138.3157,159.3157,7.0461,0.3769,1.0,0.99,0
event-07,8960885016bffff,2024-08-02T00:00:00+05:30,0,1.0589,4.7112,10.7024,27.7024,50.5024,2.94,0.0001,1.0,0.0392,0
event-07,8960885016bffff,2024-08-02T01:00:00+05:30,0,1.5928,5.7495,12.3117,29.3117,52.1117,2.9548,0.0148,1.0,0.0392,0
event-07,8960885016bffff,2024-08-02T02:00:00+05:30,0,1.0692,4.1978,9.9065,26.9065,49.7065,2.943,0.0015,1.0,0.0392,0
event-07,8960885016bffff,2024-08-02T03:00:00+05:30,0,2.2598,7.6508,15.2588,32.2588,55.0588,2.9901,0.0167,1.0,0.0392,0
event-07,8960885016bffff,2024-08-02T04:00:00+05:30,0,4.1702,10.6354,19.8848,38.8848,61.6848,3.1447,0.0512,1.0,0.0998,0
event-07,8960885016bffff,2024-08-02T05:00:00+05:30,0,9.5903,22.942,38.9601,59.9601,82.7601,3.4799,0.108,1.0,0.2315,0
event-07,8960885016bffff,2024-08-02T06:00:00+05:30,0,12.0238,26.2932,44.1545,67.1545,89.9545,3.8436,0.1506,1.0,0.4502,0
event-07,8960885016bffff,2024-08-02T07:00:00+05:30,0,16.2159,35.7132,58.7555,83.7555,106.5555,4.2216,0.1831,1.0,0.69,0
event-07,8960885016bffff,2024-08-02T08:00:00+05:30,1,21.1615,46.3154,75.1889,102.1889,124.9889,4.8697,0.2412,0.0,0.8581,0
event-07,8960885016bffff,2024-08-02T09:00:00+05:30,1,22.862,49.2371,79.7174,108.7174,131.5174,5.4298,0.2766,0.0,0.9427,0
event-07,8960885016bffff,2024-08-02T10:00:00+05:30,1,28.6056,60.9793,97.9179,128.9179,151.7179,6.2521,0.3312,0.0,0.9781,0
event-07,8960885016bffff,2024-08-02T11:00:00+05:30,1,32.3684,66.9931,107.2392,140.2392,163.0392,7.0919,0.3774,0.0,0.99,0
event-08,89608850c53ffff,2024-08-10T00:00:00+05:30,0,0.5561,4.9653,11.3963,29.8963,54.4963,2.98,0.0092,1.0,0.0392,0
event-08,89608850c53ffff,2024-08-10T01:00:00+05:30,0,1.9884,6.6519,14.0105,32.5105,57.1105,2.9805,0.0005,1.0,0.0392,0
event-08,89608850c53ffff,2024-08-10T02:00:00+05:30,0,0.8207,5.59,12.3645,30.8645,55.4645,3.0187,0.0193,1.0,0.0392,0
event-08,89608850c53ffff,2024-08-10T03:00:00+05:30,0,1.6037,6.2268,13.3515,31.8515,56.4515,3.0389,0.0196,1.0,0.0392,0
event-08,89608850c53ffff,2024-08-10T04:00:00+05:30,0,6.1481,14.7469,26.5576,47.0576,71.6576,3.2376,0.0644,1.0,0.0998,0
event-08,89608850c53ffff,2024-08-10T05:00:00+05:30,0,10.0063,22.7636,38.9836,61.4836,86.0836,3.4408,0.0922,1.0,0.2315,0
event-08,89608850c53ffff,2024-08-10T06:00:00+05:30,0,13.2214,29.2901,49.0996,73.5996,98.1996,3.8627,0.1471,1.0,0.4502,0
event-08,89608850c53ffff,2024-08-10T07:00:00+05:30,0,16.163,35.6992,59.0337,85.5337,110.1337,4.2757,0.1851,1.0,0.69,0
event-08,89608850c53ffff,2024-08-10T08:00:00+05:30,1,19.0042,42.0796,68.9234,97.4234,122.0234,4.8662,0.2358,1.0,0.8581,0
event-08,89608850c53ffff,2024-08-10T09:00:00+05:30,1,24.6549,52.871,85.6501,116.1501,140.7501,5.4756,0.2773,1.0,0.9427,0
event-08,89608850c53ffff,2024-08-10T10:00:00+05:30,1,28.2606,59.4016,95.7725,128.2725,152.8725,6.1928,0.3213,1.0,0.9781,0
event-08,89608850c53ffff,2024-08-10T11:00:00+05:30,1,32.1994,67.2194,107.8901,142.3901,166.9901,7.008,0.3662,1.0,0.99,0
event-09,89608850e47ffff,2024-08-18T00:00:00+05:30,0,1.006,5.0033,11.7551,31.7551,58.1551,3.02,0.0025,1.0,0.0392,0
event-09,89608850e47ffff,2024-08-18T01:00:00+05:30,0,2.3509,8.4565,17.1075,37.1075,63.5075,3.0381,0.0181,1.0,0.0392,0
event-09,89608850e47ffff,2024-08-18T02:00:00+05:30,0,0.7524,5.0006,11.751,31.751,58.151,3.02,0.0,1.0,0.0392,0
event-09,89608850e47ffff,2024-08-18T03:00:00+05:30,0,1.0747,5.7094,12.8496,32.8496,59.2496,3.0593,0.0131,1.0,0.0392,0
event-09,89608850e47ffff,2024-08-18T04:00:00+05:30,0,4.9054,12.6382,23.5892,45.5892,71.9892,3.2379,0.0545,1.0,0.0998,0
event-09,89608850e47ffff,2024-08-18T05:00:00+05:30,0,9.5901,21.9195,37.9752,61.9752,88.3752,3.4785,0.0917,1.0,0.2315,0
event-09,89608850e47ffff,2024-08-18T06:00:00+05:30,0,12.9824,29.0351,49.0044,75.0044,101.4044,3.9282,0.1514,1.0,0.4502,0
event-09,89608850e47ffff,2024-08-18T07:00:00+05:30,0,16.882,36.6133,60.7506,88.7506,115.1506,4.3079,0.184,1.0,0.69,1
event-09,89608850e47ffff,2024-08-18T08:00:00+05:30,1,19.6121,42.5745,69.9905,99.9905,126.3905,4.956,0.242,0.0,0.8581,0
event-09,89608850e47ffff,2024-08-18T09:00:00+05:30,1,23.8361,51.3317,83.5642,115.5642,141.9642,5.485,0.2739,0.0,0.9427,0
event-09,89608850e47ffff,2024-08-18T10:00:00+05:30,1,27.8359,58.5599,94.7678,128.7678,155.1678,6.3012,0.3281,0.0,0.9781,1
event-09,89608850e47ffff,2024-08-18T11:00:00+05:30,1,32.2774,68.4949,110.1671,146.1671,172.5671,7.0034,0.3621,0.0,0.99,0
event-10,8960885016bffff,2024-08-26T00:00:00+05:30,0,0.4397,5.3754,12.6318,34.1318,62.3318,3.06,0.0104,1.0,0.0392,0
event-10,8960885016bffff,2024-08-26T01:00:00+05:30,0,0.623,5.5227,12.8601,34.3601,62.5601,3.0691,0.0091,1.0,0.0392,0
event-10,8960885016bffff,2024-08-26T02:00:00+05:30,0,1.6689,7.8937,16.5352,38.0352,66.2352,3.0838,0.0119,1.0,0.0392,0
event-10,8960885016bffff,2024-08-26T03:00:00+05:30,0,2.2286,8.2624,17.1068,38.6068,66.8068,3.1032,0.0144,1.0,0.0392,0
event-10,8960885016bffff,2024-08-26T04:00:00+05:30,0,5.8764,15.4286,28.2143,51.7143,79.9143,3.3118,0.0629,1.0,0.0998,0
event-10,8960885016bffff,2024-08-26T05:00:00+05:30,0,8.7867,20.6718,36.3412,61.8412,90.0412,3.5347,0.0949,1.0,0.2315,0
event-10,8960885016bffff,2024-08-26T06:00:00+05:30,0,13.3145,30.2517,51.1901,78.6901,106.8901,3.9452,0.1475,1.0,0.4502,0
event-10,8960885016bffff,2024-08-26T07:00:00+05:30,0,15.3937,33.9389,56.9053,86.4053,114.6053,4.358,0.1854,1.0,0.69,0
event-10,8960885016bffff,2024-08-26T08:00:00+05:30,1,20.3504,43.5575,71.8141,103.3141,131.5141,4.897,0.2296,1.0,0.8581,0
event-10,8960885016bffff,2024-08-26T09:00:00+05:30,1,24.566,51.8406,84.6529,118.1529,146.3529,5.5634,0.2782,1.0,0.9427,0
event-10,8960885016bffff,2024-08-26T10:00:00+05:30,1,27.6394,58.2725,94.6224,130.1224,158.3224,6.294,0.3234,1.0,0.9781,0
event-10,8960885016bffff,2024-08-26T11:00:00+05:30,1,31.8602,67.6914,109.2217,146.7217,174.9217,7.2085,0.3771,1.0,0.99,0
